DATE,DGS6MO
2016-07-04,.
2016-07-05,0.35
2016-07-06,0.36
2016-07-07,0.37
2016-07-08,0.36
2016-07-11,0.40
2016-07-12,0.40
2016-07-13,0.40
2016-07-14,0.41
2016-07-15,0.42
2016-07-18,0.44
2016-07-19,0.44
2016-07-20,0.44
2016-07-21,0.44
2016-07-22,0.44
2016-07-25,0.44
2016-07-26,0.43
2016-07-27,0.40
2016-07-28,0.39
2016-07-29,0.38
2016-08-01,0.40
2016-08-02,0.41
2016-08-03,0.42
2016-08-04,0.41
2016-08-05,0.45
2016-08-08,0.45
2016-08-09,0.44
2016-08-10,0.43
2016-08-11,0.45
2016-08-12,0.43
2016-08-15,0.46
2016-08-16,0.45
2016-08-17,0.46
2016-08-18,0.44
2016-08-19,0.44
2016-08-22,0.45
2016-08-23,0.45
2016-08-24,0.46
2016-08-25,0.46
2016-08-26,0.47
2016-08-29,0.49
2016-08-30,0.47
2016-08-31,0.47
2016-09-01,0.47
2016-09-02,0.45
2016-09-05,.
2016-09-06,0.45
2016-09-07,0.49
2016-09-08,0.50
2016-09-09,0.51
2016-09-12,0.53
2016-09-13,0.54
2016-09-14,0.52
2016-09-15,0.49
2016-09-16,0.50
2016-09-19,0.48
2016-09-20,0.49
2016-09-21,0.44
2016-09-22,0.39
2016-09-23,0.40
2016-09-26,0.42
2016-09-27,0.42
2016-09-28,0.44
2016-09-29,0.43
2016-09-30,0.45
2016-10-03,0.48
2016-10-04,0.48
2016-10-05,0.48
2016-10-06,0.46
2016-10-07,0.46
2016-10-10,0.46
2016-10-11,0.48
2016-10-12,0.49
2016-10-13,0.45
2016-10-14,0.46
2016-10-17,0.47
2016-10-18,0.47
2016-10-19,0.48
2016-10-20,0.48
2016-10-21,0.47
2016-10-24,0.46
2016-10-25,0.49
2016-10-26,0.49
2016-10-27,0.49
2016-10-28,0.49
2016-10-31,0.51
2016-11-01,0.50
2016-11-02,0.51
2016-11-03,0.52
2016-11-04,0.52
2016-11-07,0.54
2016-11-08,0.56
2016-11-09,0.56
2016-11-10,0.59
2016-11-11,0.59
2016-11-14,0.65
2016-11-15,0.61
2016-11-16,0.62
2016-11-17,0.61
2016-11-18,0.60
2016-11-21,0.60
2016-11-22,0.61
2016-11-23,0.63
2016-11-24,.
2016-11-25,0.62
2016-11-28,0.60
2016-11-29,0.60
2016-11-30,0.62
2016-12-01,0.60
2016-12-02,0.61
2016-12-05,0.63
2016-12-06,0.63
2016-12-07,0.63
2016-12-08,0.62
2016-12-09,0.64
2016-12-12,0.64
2016-12-13,0.66
2016-12-14,0.66
2016-12-15,0.65
2016-12-16,0.65
2016-12-19,0.65
2016-12-20,0.66
2016-12-21,0.65
2016-12-22,0.65
2016-12-23,0.65
2016-12-26,.
2016-12-27,0.66
2016-12-28,0.62
2016-12-29,0.62
2016-12-30,0.62
